wish_id,account_id,academy_id,title,target_amount,target_date,is_representative,status,created_at,closed_at,deleted_at,saved_amount
w58,acc19,aca1,제주도 여행,98000,,FALSE,완료,2026-08-23 21:44:30,2026-08-31 02:44:30,,98000
w59,acc19,aca1,캘리그라피펜,6000,,FALSE,완료,2026-07-03 16:12:02,2026-07-21 20:26:02,,6000
w60,acc20,aca1,틴트세트,15000,2026-09-05,TRUE,진행중,2026-07-12 23:17:51,,,42585
w61,acc20,aca1,플래너,25000,,FALSE,완료,2026-08-19 15:45:28,2026-08-24 13:26:28,,25000
w62,acc20,aca1,향수,21000,,FALSE,완료,2026-07-08 11:54:04,2026-08-18 15:54:04,,21000
w63,acc20,aca1,플래너,23000,,FALSE,완료,2026-08-12 18:45:04,2026-08-25 07:37:04,,23000
w64,acc21,aca1,틴트세트,15000,2026-09-13,TRUE,진행중,2026-07-14 09:08:20,,,27285
w65,acc21,aca1,전기요,15000,,FALSE,완료,2026-08-23 08:52:55,2026-08-23 17:06:55,,15000
w66,acc21,aca1,전기요,51000,,FALSE,완료,2026-08-11 13:49:36,2026-08-21 01:49:36,,51000
w67,acc21,aca1,드라이기,37000,,FALSE,완료,2026-08-11 16:30:15,2026-08-30 00:28:15,,37000
w68,acc22,aca1,스마트워치,224000,2026-11-04,TRUE,진행중,2026-07-11 18:25:08,,,849
w69,acc22,aca1,원피스,38000,,FALSE,완료,2026-08-30 19:32:29,2026-09-01 04:54:29,,38000
w70,acc22,aca1,원피스,96000,,FALSE,완료,2026-07-19 22:38:56,2026-08-27 07:44:56,,96000
w71,acc23,aca1,피규어,31000,2026-09-24,TRUE,진행중,2026-07-20 10:08:06,,,61184
w72,acc23,aca1,게임타이틀,159000,,FALSE,완료,2026-08-13 15:39:30,2026-08-18 01:09:30,,159000
w73,acc23,aca1,자전거,74000,,FALSE,완료,2026-08-30 16:49:18,2026-08-31 21:37:18,,74000
w74,acc23,aca1,게임타이틀,229000,,FALSE,완료,2026-07-19 10:36:43,2026-08-13 04:24:43,,229000
w75,acc24,aca1,참고서,10000,2026-09-30,FALSE,진행중,2026-07-16 10:43:49,,,7493
w76,acc24,aca1,향수,41000,,FALSE,완료,2026-07-30 18:26:44,2026-08-24 18:50:44,,41000
w77,acc25,aca1,포켓몬카드,37000,2026-10-10,FALSE,진행중,2026-07-04 13:45:37,,,40970
w78,acc25,aca1,포켓몬카드,35000,,FALSE,완료,2026-08-04 19:52:14,2026-08-16 02:42:14,,35000
w79,acc25,aca1,자전거,65000,,FALSE,완료,2026-08-29 10:02:51,2026-09-02 04:40:51,,65000
w80,acc25,aca1,크로스백,69000,,FALSE,완료,2026-07-14 09:06:38,2026-07-17 10:56:38,,69000
w81,acc26,aca1,아이돌응원봉,20000,,TRUE,진행중,2026-07-02 11:32:18,,,18026
w82,acc26,aca1,닌텐도스위치,130000,,FALSE,완료,2026-08-29 21:54:23,2026-08-30 11:01:23,,130000
w84,acc27,aca1,패딩자켓,85000,,FALSE,포기,2026-07-18 20:18:09,2026-08-07 17:14:24,,36834
w85,acc27,aca1,드라이기,33000,,FALSE,포기,2026-07-09 22:46:41,2026-08-24 22:29:10,,5534
w83,acc27,aca1,포켓몬카드,36000,,TRUE,진행중,2026-07-15 10:51:46,,,13868
w86,acc27,aca1,가습기,46000,,FALSE,완료,2026-08-12 22:01:00,2026-08-25 01:10:00,,46000
w87,acc28,aca1,콘서트 티켓,187000,2026-10-10,FALSE,진행중,2026-07-06 10:58:06,,,36950
w88,acc28,aca1,가습기,19000,,FALSE,완료,2026-08-13 17:24:48,2026-08-30 13:53:48,,19000
w89,acc29,aca1,가습기,40000,2026-09-10,TRUE,진행중,2026-07-11 07:40:17,,,35542
w90,acc29,aca1,참고서,29000,,FALSE,완료,2026-07-31 09:23:16,2026-08-11 15:13:16,,29000
w91,acc29,aca1,텀블러,36000,,FALSE,완료,2026-07-30 10:08:19,2026-07-30 18:01:19,,36000
w92,acc30,aca1,포토카드앨범,24000,2026-10-14,TRUE,진행중,2026-07-15 13:28:51,,,34502
w93,acc30,aca1,드론,87000,,FALSE,완료,2026-07-29 18:25:29,2026-08-29 17:10:29,,87000
w94,acc30,aca1,스마트워치,75000,,FALSE,완료,2026-07-02 22:06:18,2026-08-09 19:18:18,,75000
