transaction_id,account_id,wish_id,amount,event_type,created_at
t146,acc19,w56,1201,WISH_DEPOSIT,2026-07-08 20:11:42
t147,acc19,w56,4957,WISH_DEPOSIT,2026-07-17 18:04:33
t148,acc19,w56,856,WISH_DEPOSIT,2026-09-01 19:55:30
t149,acc19,w56,633,WISH_DEPOSIT,2026-09-02 18:16:47
t150,acc20,w60,4468,WISH_DEPOSIT,2026-08-01 20:10:44
t151,acc20,w60,3818,WISH_DEPOSIT,2026-08-05 18:28:02
t152,acc20,w60,4977,WISH_DEPOSIT,2026-08-08 18:39:27
t153,acc20,w60,3124,WISH_DEPOSIT,2026-08-11 08:04:42
t154,acc20,w60,4611,WISH_DEPOSIT,2026-08-14 19:23:32
t155,acc20,w60,4782,WISH_DEPOSIT,2026-08-16 12:01:09
t156,acc20,w60,4488,WISH_DEPOSIT,2026-08-18 21:02:08
t157,acc20,w60,2275,WISH_DEPOSIT,2026-08-21 14:49:41
t158,acc20,w60,3500,WISH_DEPOSIT,2026-08-24 18:24:36
t159,acc20,w60,2132,WISH_DEPOSIT,2026-08-27 11:43:28
t160,acc20,w60,1627,WISH_DEPOSIT,2026-07-12 21:48:04
t161,acc20,w60,2783,WISH_DEPOSIT,2026-07-17 18:25:20
t162,acc21,w64,8815,WISH_DEPOSIT,2026-08-19 12:49:08
t163,acc21,w64,7544,WISH_DEPOSIT,2026-08-25 23:58:55
t164,acc21,w64,4453,WISH_DEPOSIT,2026-08-27 10:33:09
t165,acc21,w64,2347,WISH_DEPOSIT,2026-07-06 12:20:59
t166,acc21,w64,1146,WISH_DEPOSIT,2026-07-12 23:57:18
t167,acc21,w64,2980,WISH_DEPOSIT,2026-09-01 15:08:40
t168,acc22,w68,747,WISH_DEPOSIT,2026-08-06 21:07:17
t169,acc22,w68,-1103,WISH_TRANSFER,2026-08-25 14:09:06
t170,acc22,w68,-1856,WISH_TRANSFER,2026-08-20 19:55:39
t171,acc22,w68,3061,WISH_DEPOSIT,2026-07-31 12:52:20
t172,acc23,w71,4127,WISH_DEPOSIT,2026-08-02 21:09:38
t173,acc23,w71,4111,WISH_DEPOSIT,2026-08-05 11:20:59
t174,acc23,w71,4511,WISH_DEPOSIT,2026-08-08 17:10:25
t175,acc23,w71,4525,WISH_DEPOSIT,2026-08-11 16:37:21
t176,acc23,w71,4077,WISH_DEPOSIT,2026-08-15 23:34:31
t177,acc23,w71,4902,WISH_DEPOSIT,2026-08-17 16:30:52
t178,acc23,w71,2068,WISH_DEPOSIT,2026-08-19 18:21:43
t179,acc23,w71,2448,WISH_DEPOSIT,2026-08-21 20:37:19
t180,acc23,w71,4970,WISH_DEPOSIT,2026-08-24 07:38:30
t181,acc23,w71,3087,WISH_DEPOSIT,2026-08-27 14:46:03
t182,acc23,w71,3614,WISH_DEPOSIT,2026-07-16 12:33:40
t183,acc23,w71,1400,WISH_DEPOSIT,2026-07-05 14:02:36
t184,acc23,w71,3930,WISH_DEPOSIT,2026-07-07 07:28:20
t185,acc23,w71,3861,WISH_DEPOSIT,2026-07-05 20:44:13
t186,acc23,w71,4749,WISH_DEPOSIT,2026-09-02 08:45:08
t187,acc23,w71,4804,WISH_DEPOSIT,2026-09-01 17:42:30
t188,acc24,w75,1168,WISH_DEPOSIT,2026-08-07 22:30:41
t189,acc24,w75,593,WISH_DEPOSIT,2026-07-25 15:21:19
t190,acc24,w75,1008,WISH_DEPOSIT,2026-07-09 18:44:15
t191,acc24,w75,1808,WISH_DEPOSIT,2026-07-22 10:29:19
t192,acc24,w75,2916,WISH_DEPOSIT,2026-09-02 10:40:58
t193,acc25,w77,4755,WISH_DEPOSIT,2026-08-03 16:46:01
t194,acc25,w77,3621,WISH_DEPOSIT,2026-08-07 15:52:00
t195,acc25,w77,2892,WISH_DEPOSIT,2026-08-09 09:02:27
t196,acc25,w77,3411,WISH_DEPOSIT,2026-08-13 09:34:03
t197,acc25,w77,2282,WISH_DEPOSIT,2026-08-16 22:02:18
t198,acc25,w77,3674,WISH_DEPOSIT,2026-08-20 12:49:08
t199,acc25,w77,4627,WISH_DEPOSIT,2026-08-24 20:23:57
t200,acc25,w77,3566,WISH_DEPOSIT,2026-08-26 21:55:58
t201,acc25,w77,4917,WISH_DEPOSIT,2026-07-13 09:43:42
t202,acc25,w77,4901,WISH_DEPOSIT,2026-07-05 18:07:11
t203,acc25,w77,2324,WISH_DEPOSIT,2026-07-13 23:08:46
t204,acc26,w81,1109,WISH_DEPOSIT,2026-08-08 11:42:33
t205,acc26,w81,1026,WISH_DEPOSIT,2026-08-11 20:19:17
t206,acc26,w81,862,WISH_DEPOSIT,2026-08-19 12:40:43
t207,acc26,w81,1237,WISH_DEPOSIT,2026-08-20 22:03:22
t208,acc26,w81,1764,WISH_DEPOSIT,2026-08-22 19:50:33
t209,acc26,w81,1126,WISH_DEPOSIT,2026-08-25 20:26:09
t210,acc26,w81,4379,WISH_DEPOSIT,2026-07-13 12:48:34
t211,acc26,w81,1682,WISH_DEPOSIT,2026-07-08 14:19:54
t212,acc26,w81,4841,WISH_DEPOSIT,2026-09-01 20:26:35
t213,acc27,w83,820,WISH_DEPOSIT,2026-08-04 20:02:36
t214,acc27,w83,1384,WISH_DEPOSIT,2026-08-06 14:47:09
t215,acc27,w83,4941,WISH_DEPOSIT,2026-07-16 12:58:56
t216,acc27,w83,1108,WISH_DEPOSIT,2026-07-21 08:33:02
t217,acc27,w83,3878,WISH_DEPOSIT,2026-07-31 08:48:00
t218,acc27,w83,1737,WISH_DEPOSIT,2026-07-05 14:04:45
t219,acc28,w87,4855,WISH_DEPOSIT,2026-08-01 14:19:43
t220,acc28,w87,2330,WISH_DEPOSIT,2026-08-04 08:05:25
t221,acc28,w87,3553,WISH_DEPOSIT,2026-08-07 19:35:30
t222,acc28,w87,2229,WISH_DEPOSIT,2026-08-10 07:44:10
t223,acc28,w87,2338,WISH_DEPOSIT,2026-08-14 22:54:27
t224,acc28,w87,4641,WISH_DEPOSIT,2026-08-16 17:36:54
t225,acc28,w87,2390,WISH_DEPOSIT,2026-08-19 23:58:02
t226,acc28,w87,2941,WISH_DEPOSIT,2026-08-23 13:57:55
t227,acc28,w87,4835,WISH_DEPOSIT,2026-08-27 22:17:02
t228,acc28,w87,3076,WISH_DEPOSIT,2026-09-02 08:11:59
t229,acc28,w87,3762,WISH_DEPOSIT,2026-09-01 13:37:09
t230,acc29,w89,2631,WISH_DEPOSIT,2026-08-02 19:45:50
t231,acc29,w89,4596,WISH_DEPOSIT,2026-08-06 11:47:24
t232,acc29,w89,3297,WISH_DEPOSIT,2026-08-10 18:06:05
t233,acc29,w89,2021,WISH_DEPOSIT,2026-08-13 16:28:23
t234,acc29,w89,3104,WISH_DEPOSIT,2026-08-17 10:08:05
t235,acc29,w89,2767,WISH_DEPOSIT,2026-08-19 20:28:35
t236,acc29,w89,4272,WISH_DEPOSIT,2026-08-22 23:26:06
t237,acc29,w89,2107,WISH_DEPOSIT,2026-08-25 09:22:35
t238,acc29,w89,2381,WISH_DEPOSIT,2026-08-27 17:55:24
t239,acc29,w89,2050,WISH_DEPOSIT,2026-08-29 16:26:24
t240,acc29,w89,3618,WISH_DEPOSIT,2026-09-01 23:10:43
t241,acc29,w89,2698,WISH_DEPOSIT,2026-09-01 11:17:19
t242,acc30,w92,8090,WISH_DEPOSIT,2026-08-23 11:40:19
t243,acc30,w92,5982,WISH_DEPOSIT,2026-08-29 15:42:09
t244,acc30,w92,4425,WISH_DEPOSIT,2026-07-26 19:04:28
t245,acc30,w92,3926,WISH_DEPOSIT,2026-07-19 19:34:32
t246,acc30,w92,4898,WISH_DEPOSIT,2026-07-18 08:50:23
t247,acc30,w92,3408,WISH_DEPOSIT,2026-09-01 10:49:15
t248,acc30,w92,3773,WISH_DEPOSIT,2026-09-01 08:36:41
